balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,installments_purchases_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure
124.506,1.0,1194.54,1194.54,0.0,0.0,0.917,0.917,0.0,0.0,0.0,11.0,7500.0,961.895,169.007,1.0,12.0
1700.503,1.0,0.0,0.0,0.0,257.198,0.0,0.0,0.0,0.083,1.0,0.0,2500.0,819.687,428.629,0.0,12.0
2837.834,1.0,5541.87,1630.6,3911.27,855.233,1.0,0.333,1.0,0.167,2.0,49.0,6500.0,3909.734,707.239,0.0,12.0
160.817,1.0,1755.76,1755.76,0.0,0.0,1.0,1.0,0.0,0.0,0.0,20.0,2500.0,1633.05,194.344,0.917,12.0
72.706,0.273,508.56,508.56,0.0,0.0,0.083,0.083,0.0,0.0,0.0,2.0,7000.0,2197.473,217.323,0.0,12.0
1243.251,1.0,1680.0,0.0,1680.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,4500.0,1105.143,361.881,0.0,12.0
884.231,1.0,0.0,0.0,0.0,611.764,0.0,0.0,0.0,0.083,2.0,0.0,1200.0,883.944,216.196,0.0,12.0
2111.245,0.818,147.12,147.12,0.0,1578.669,0.083,0.083,0.0,0.167,5.0,1.0,6500.0,4014.565,475.899,0.0,12.0
0.704,0.182,963.9,607.28,356.62,0.0,0.5,0.083,0.5,0.0,0.0,10.0,3000.0,1502.663,14.572,0.0,12.0
2000.798,1.0,1037.5,0.0,1037.5,0.0,0.417,0.0,0.417,0.0,0.0,5.0,7500.0,1864.666,450.606,0.273,12.0
1140.674,1.0,438.83,0.0,438.83,631.332,1.0,0.0,1.0,0.167,2.0,18.0,1800.0,807.664,428.424,0.0,12.0
223.764,0.636,2309.78,0.0,2309.78,0.0,0.583,0.0,0.5,0.0,0.0,12.0,6500.0,1206.812,99.373,0.333,12.0
3123.339,1.0,11202.09,10929.53,272.56,0.0,1.0,1.0,0.583,0.0,0.0,100.0,7500.0,8317.163,887.496,0.083,12.0
392.896,0.909,450.0,450.0,0.0,517.198,0.818,0.818,0.0,0.273,5.0,9.0,500.0,769.084,496.216,0.0,11.0
25.096,0.889,177.76,0.0,177.76,0.0,0.889,0.0,0.778,0.0,0.0,8.0,1500.0,138.24,130.345,0.286,9.0
1145.052,1.0,115.95,115.95,0.0,191.655,0.083,0.083,0.0,0.083,1.0,1.0,1500.0,1703.004,374.437,0.083,12.0
1569.888,1.0,741.66,309.66,432.0,2710.997,0.417,0.333,0.083,0.167,3.0,8.0,4000.0,3306.37,503.399,0.0,12.0
147.147,1.0,356.68,0.0,356.68,0.0,1.0,0.0,1.0,0.0,0.0,16.0,2700.0,385.268,167.732,0.0,12.0
187.517,1.0,0.0,0.0,0.0,823.172,0.0,0.0,0.0,0.25,5.0,0.0,4500.0,899.37,96.728,0.167,12.0
219.885,1.0,1857.17,1367.65,489.52,0.0,0.75,0.167,0.583,0.0,0.0,16.0,1800.0,630.187,210.086,0.0,12.0
411.276,1.0,1524.65,1153.52,371.13,0.0,1.0,0.583,1.0,0.0,0.0,51.0,900.0,626.104,236.646,0.083,12.0
475.676,1.0,5421.73,5421.73,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.0,10500.0,5510.903,183.857,1.0,12.0
3531.167,0.9,797.5,577.83,219.67,5273.227,0.7,0.4,0.5,0.9,33.0,21.0,4000.0,2979.547,3052.08,0.0,10.0
134.0,1.0,1485.0,0.0,1485.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,1353.277,170.609,0.909,12.0
34.388,1.0,153.18,61.9,91.28,0.0,0.417,0.083,0.417,0.0,0.0,11.0,2500.0,99.085,145.638,0.0,12.0
134.239,1.0,420.0,287.0,133.0,0.0,0.583,0.083,0.417,0.0,0.0,7.0,7500.0,519.437,190.476,0.0,12.0
2382.495,1.0,0.0,0.0,0.0,2795.907,0.0,0.0,0.0,0.083,2.0,0.0,3000.0,434.164,1107.009,0.0,12.0
2529.016,1.0,1040.74,0.0,1040.74,0.0,1.0,0.0,1.0,0.0,0.0,28.0,2500.0,1746.019,2996.009,0.0,12.0
1089.22,1.0,639.15,639.15,0.0,443.668,0.417,0.417,0.0,0.333,5.0,11.0,3000.0,1095.752,270.737,0.0,12.0
6105.102,1.0,248.73,0.0,248.73,8554.17,0.083,0.0,0.083,0.75,49.0,2.0,9000.0,1824.64,2173.253,0.0,12.0
4322.806,1.0,220.5,0.0,220.5,3767.105,0.417,0.0,0.417,0.917,25.0,11.0,11000.0,1170.485,1025.146,0.0,12.0
2762.537,1.0,0.0,0.0,0.0,478.933,0.0,0.0,0.0,0.083,1.0,0.0,3000.0,652.759,6038.568,0.0,12.0
2070.069,1.0,1382.57,1077.75,304.82,0.0,1.0,0.667,0.833,0.0,0.0,33.0,2400.0,1580.082,466.773,0.0,12.0
4.967,0.182,59.34,0.0,59.34,0.0,0.167,0.0,0.167,0.0,0.0,2.0,2000.0,360.725,111.894,0.5,12.0
3258.237,1.0,921.12,521.14,399.98,0.0,0.75,0.5,0.5,0.0,0.0,14.0,6200.0,1323.776,1011.026,0.0,12.0
114.296,1.0,109.8,0.0,109.8,0.0,0.75,0.0,0.75,0.0,0.0,12.0,1000.0,115.418,165.035,0.0,12.0
1647.461,1.0,323.55,323.55,0.0,0.0,0.75,0.75,0.0,0.0,0.0,9.0,5000.0,669.944,607.903,0.0,12.0
877.604,1.0,7786.4,215.0,7571.4,0.0,1.0,0.083,1.0,0.0,0.0,68.0,6500.0,7328.488,2494.777,0.917,12.0
2684.334,1.0,1958.59,1537.82,420.77,0.0,1.0,0.167,1.0,0.0,0.0,23.0,4000.0,1115.397,619.231,0.0,12.0
2912.282,1.0,1228.07,0.0,1228.07,2784.295,1.0,0.0,1.0,0.417,10.0,111.0,5400.0,1305.296,1274.258,0.0,12.0
24.569,1.0,532.93,0.0,532.93,0.0,1.0,0.0,1.0,0.0,0.0,23.0,3000.0,686.936,150.108,0.8,12.0
2629.929,1.0,2830.88,2019.76,811.12,95.275,0.917,0.917,0.417,0.083,1.0,62.0,4500.0,4889.054,1141.961,0.0,12.0
98.29,0.545,4440.8,4440.8,0.0,0.0,0.583,0.583,0.0,0.0,0.0,19.0,1500.0,7150.995,119.098,0.75,12.0
437.61,1.0,0.0,0.0,0.0,1340.128,0.0,0.0,0.0,0.167,3.0,0.0,1200.0,1569.501,156.936,0.091,12.0
7857.659,1.0,1760.55,53.0,1707.55,7418.468,1.0,0.083,1.0,0.333,9.0,142.0,15000.0,2114.977,1942.657,0.0,12.0
16.835,0.455,15.0,15.0,0.0,209.025,0.091,0.091,0.0,0.091,1.0,1.0,7500.0,430.213,86.96,0.0,11.0
845.93,1.0,2384.15,1206.43,1177.72,1950.164,1.0,0.917,0.833,0.083,2.0,62.0,2500.0,4029.994,232.497,0.273,12.0
5926.838,0.818,0.0,0.0,0.0,9596.317,0.0,0.0,0.0,0.182,6.0,0.0,13000.0,1599.793,2715.037,0.0,11.0
2122.822,1.0,255.34,199.34,56.0,1331.77,0.333,0.167,0.333,0.5,7.0,6.0,5000.0,1016.844,561.913,0.0,12.0
372.708,0.667,1093.25,1093.25,0.0,127.04,0.667,0.667,0.0,0.333,2.0,23.0,1200.0,63.165,88.289,0.0,6.0
2008.461,1.0,0.0,0.0,0.0,2436.107,0.0,0.0,0.0,0.083,4.0,0.0,2900.0,3092.937,681.53,0.083,12.0
4060.966,1.0,823.1,407.0,416.1,0.0,0.5,0.167,0.333,0.0,0.0,13.0,11500.0,3347.329,1220.529,0.0,12.0
1158.013,1.0,170.0,170.0,0.0,299.899,0.083,0.083,0.0,0.25,3.0,1.0,1200.0,525.816,616.813,0.0,12.0
1922.944,1.0,110.8,110.8,0.0,0.0,0.167,0.167,0.0,0.0,0.0,2.0,3000.0,551.432,565.627,0.0,12.0
1278.672,1.0,229.0,229.0,0.0,1444.251,0.167,0.167,0.0,0.25,10.0,3.0,1600.0,410.26,456.099,0.083,12.0
365.674,1.0,1169.73,1169.73,0.0,0.0,0.333,0.333,0.0,0.0,0.0,9.0,1500.0,877.026,527.451,0.0,12.0
248.626,1.0,2635.25,2635.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,5000.0,2425.108,193.086,1.0,12.0
17.905,0.364,159.0,0.0,159.0,0.0,0.167,0.0,0.083,0.0,0.0,2.0,4000.0,134.532,61.972,0.167,12.0
1.059,0.182,25.5,25.5,0.0,0.0,0.083,0.083,0.0,0.0,0.0,1.0,5500.0,563.748,83.648,0.5,12.0
6719.377,1.0,0.0,0.0,0.0,2443.262,0.0,0.0,0.0,0.333,7.0,0.0,7500.0,1493.089,2488.977,0.0,12.0
2420.761,1.0,0.0,0.0,0.0,567.234,0.0,0.0,0.0,0.083,2.0,0.0,3000.0,871.713,609.207,0.0,12.0
313.802,1.0,1146.37,792.1,354.27,1429.34,0.583,0.417,0.417,0.333,8.0,22.0,2000.0,2736.93,156.021,0.182,12.0
1175.896,1.0,154.38,154.38,0.0,37.197,0.083,0.083,0.0,0.083,1.0,2.0,4000.0,1909.162,426.237,0.083,12.0
581.249,0.909,556.83,484.88,71.95,0.0,0.727,0.636,0.091,0.0,0.0,32.0,1500.0,328.463,345.558,0.0,11.0
4264.307,1.0,222.64,0.0,222.64,249.298,0.917,0.0,0.833,0.25,3.0,11.0,4500.0,1017.242,1225.909,0.0,12.0
793.714,1.0,1307.0,1307.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0,1.0,3000.0,1533.108,115.668,0.0,6.0
167.245,0.273,0.0,0.0,0.0,1275.337,0.0,0.0,0.0,0.083,3.0,0.0,3000.0,7094.254,248.788,0.25,12.0
1509.525,1.0,0.0,0.0,0.0,1784.024,0.0,0.0,0.0,0.25,5.0,0.0,3500.0,513.388,518.482,0.0,12.0
655.787,1.0,387.68,0.0,387.68,0.0,0.083,0.0,0.083,0.0,0.0,1.0,2000.0,1110.024,644.268,0.0,12.0
1584.358,1.0,0.0,0.0,0.0,440.693,0.0,0.0,0.0,0.083,1.0,0.0,4000.0,805.265,452.085,0.0,12.0
772.547,1.0,8519.02,8003.21,515.81,237.067,1.0,1.0,1.0,0.083,1.0,117.0,17500.0,5828.994,270.774,0.833,12.0
7268.706,1.0,306.91,306.91,0.0,12702.428,0.273,0.273,0.0,1.0,93.0,4.0,12000.0,3512.634,2096.963,0.0,11.0
3215.344,1.0,1149.92,729.86,420.06,5157.158,1.0,0.417,0.917,0.75,42.0,20.0,6500.0,2171.42,953.906,0.091,12.0
8363.401,1.0,1076.01,1076.01,0.0,3134.266,0.25,0.25,0.0,0.667,29.0,7.0,9500.0,1828.937,2608.291,0.0,12.0
177.372,1.0,534.0,0.0,534.0,0.0,0.667,0.0,0.5,0.0,0.0,8.0,3500.0,453.358,194.132,0.0,12.0
398.726,1.0,393.49,393.49,0.0,787.215,0.167,0.167,0.0,0.25,8.0,12.0,600.0,795.86,213.548,0.0,12.0
404.316,1.0,176.0,0.0,176.0,0.0,0.417,0.0,0.417,0.0,0.0,5.0,1000.0,157.645,193.243,0.0,12.0
955.117,1.0,0.0,0.0,0.0,3798.701,0.0,0.0,0.0,0.5,13.0,0.0,4500.0,2413.365,284.391,0.0,12.0
36.608,0.545,224.4,224.4,0.0,0.0,0.167,0.167,0.0,0.0,0.0,2.0,2100.0,372.093,151.08,0.0,12.0
6.903,0.727,145.01,0.0,145.01,0.0,0.75,0.0,0.75,0.0,0.0,9.0,3000.0,162.93,66.977,0.143,12.0
117.064,0.909,1035.05,64.9,970.15,0.0,0.75,0.083,0.667,0.0,0.0,10.0,3000.0,1336.493,154.165,0.778,12.0
992.615,1.0,162.28,0.0,162.28,0.0,0.5,0.0,0.5,0.0,0.0,6.0,1000.0,333.664,462.346,0.0,12.0
2224.891,1.0,211.05,211.05,0.0,4014.664,0.333,0.333,0.0,0.833,19.0,4.0,3000.0,3615.056,591.521,0.0,12.0
680.671,1.0,8040.78,2946.69,5094.09,0.0,1.0,0.667,1.0,0.0,0.0,66.0,7000.0,6331.738,194.172,0.833,12.0
1579.729,1.0,0.0,0.0,0.0,124.941,0.0,0.0,0.0,0.083,1.0,0.0,1800.0,464.306,482.666,0.0,12.0
1478.09,0.8,245.01,245.01,0.0,4377.526,0.1,0.1,0.0,0.6,22.0,1.0,2500.0,3168.779,966.612,0.0,10.0
2533.618,0.909,5633.83,2985.92,2647.91,2451.808,0.917,0.5,0.75,0.333,16.0,82.0,9000.0,8176.954,602.963,0.0,12.0
3287.232,1.0,0.0,0.0,0.0,3190.532,0.0,0.0,0.0,0.25,3.0,0.0,8500.0,1339.97,880.46,0.0,12.0
6668.441,1.0,5596.11,2880.91,2715.2,2790.317,1.0,0.583,1.0,0.167,14.0,110.0,16000.0,17068.967,6687.965,0.083,12.0
