3750 8000
ADD 3455 2087
ADD 1071 840
ADD 556 1881
LINK 3040 1383
LINK 2568 3551
LINK 926 219
LINK 306 1782
ADD 3062 393
ADD 3459 707
LINK 3686 1554
ADD 2355 1430
ADD 2863 2388
ADD 1985 3216
LINK 3310 2549
ADD 1254 2343
ADD 2022 2014
LINK 2038 709
LINK 649 3196
ADD 125 2080
ADD 658 2690
LINK 2795 2579
ADD 561 164
LINK 3551 264
ADD 3058 1817
ADD 3635 1099
ADD 1528 2960
LINK 746 28
LINK 590 1755
ADD 2319 658
LINK 282 2730
LINK 3315 1234
ADD 16 669
LINK 3471 2326
ADD 2590 663
LINK 158 3092
ADD 3749 1736
ADD 79 3234
ADD 3649 1936
ADD 1818 2462
LINK 2254 2948
LINK 1291 3178
LINK 601 3094
ADD 144 316
LINK 3721 2880
LINK 3685 281
ADD 1643 2700
ADD 1351 16
ADD 2098 2875
ADD 2383 1529
LINK 2501 183
ADD 900 1576
ADD 822 1047
LINK 2600 3609
ADD 3193 1530
LINK 666 3613
ADD 3656 1125
ADD 2315 3420
LINK 2756 3357
LINK 1028 1735
LINK 2719 959
LINK 1132 1516
LINK 10 1714
ADD 2077 3720
LINK 1177 877
ADD 1251 569
ADD 3328 2611
LINK 2649 15
ADD 1399 2775
LINK 2069 1878
LINK 1191 1539
ADD 2619 552
LINK 1345 1666
ADD 2477 2897
ADD 2172 2288
ADD 2739 615
ADD 2216 3408
ADD 1538 3437
LINK 2146 1499
ADD 2592 477
ADD 2245 965
ADD 3215 2255
LINK 448 781
ADD 3257 2568
LINK 1230 545
LINK 1121 3039
ADD 3133 2566
ADD 1437 3591
ADD 1622 2918
ADD 1750 1357
ADD 1490 320
LINK 262 2401
ADD 3305 633
ADD 1744 3610
LINK 718 498
ADD 3366 1240
LINK 1953 350
ADD 639 3519
ADD 1578 1820
LINK 395 2158
ADD 1101 2233
ADD 2318 1123
LINK 216 3573
ADD 3260 232
LINK 1109 3271
ADD 760 279
ADD 2886 2153
LINK 3556 1321
ADD 641 1291
ADD 709 1555
LINK 1901 2207
ADD 17 2950
ADD 2136 549
ADD 578 2299
LINK 637 1194
LINK 1886 1006
LINK 1236 141
LINK 3020 2461
LINK 1105 2291
ADD 3254 1532
LINK 136 2272
LINK 1261 350
ADD 3075 3015
ADD 2414 3109
ADD 3252 3418
ADD 1354 3684
ADD 1075 171
LINK 1337 1558
LINK 2772 2811
LINK 1547 1998
LINK 2751 3506
LINK 1947 3325
LINK 1557 1010
ADD 830 565
LINK 1585 3308
ADD 234 3280
ADD 635 3000
ADD 1969 2027
LINK 89 3651
LINK 2306 2804
LINK 1309 2702
LINK 691 619
LINK 303 2382
ADD 1811 1968
ADD 818 379
ADD 3182 1399
ADD 3079 3298
LINK 2402 775
LINK 2286 987
ADD 647 105
ADD 1874 714
ADD 1156 1924
LINK 1656 1842
LINK 2609 1502
ADD 3153 415
LINK 3671 2196
ADD 2114 1060
LINK 3701 1340
LINK 1448 1646
LINK 1771 3021
ADD 193 35
LINK 1331 1645
ADD 3216 3406
ADD 3572 2446
ADD 558 3230
LINK 2932 2356
ADD 2091 998
ADD 3242 1820
ADD 200 890
LINK 542 364
LINK 2724 671
LINK 987 1955
LINK 1922 2441
LINK 257 1931
LINK 1163 2251
LINK 2774 1198
LINK 1983 1081
ADD 14 2435
ADD 852 370
ADD 328 2083
ADD 716 764
ADD 86 3687
ADD 1592 2589
ADD 2801 3242
LINK 3363 3252
LINK 1758 3384
LINK 2465 3252
LINK 3182 735
LINK 1276 586
LINK 1129 1620
ADD 265 605
LINK 1110 3412
ADD 94 151
LINK 86 1113
LINK 2401 2901
ADD 1481 3137
LINK 3488 1522
LINK 545 3317
LINK 791 3732
ADD 918 3319
LINK 3074 3625
LINK 3048 529
ADD 3124 268
LINK 2556 661
LINK 1281 1672
LINK 187 768
ADD 2169 2448
LINK 3328 2818
LINK 665 1814
ADD 1492 877
ADD 2445 2934
ADD 229 2728
LINK 2018 2524
ADD 1699 1272
LINK 855 761
ADD 2910 2390
LINK 2602 2772
ADD 3743 1154
ADD 585 743
ADD 2581 3547
LINK 2361 2994
ADD 785 1107
ADD 1157 2690
ADD 974 3402
ADD 531 1531
ADD 1435 3127
ADD 1723 1504
LINK 695 2344
LINK 91 762
ADD 709 3725
LINK 583 2096
LINK 2365 937
ADD 2707 1251
LINK 3181 989
ADD 2110 1219
LINK 182 3269
ADD 1786 157
LINK 2738 1680
ADD 3343 1567
ADD 3678 3069
ADD 1155 318
ADD 158 1038
LINK 1238 3163
ADD 2737 381
ADD 3635 2231
LINK 2221 1241
LINK 730 1875
ADD 1053 15
LINK 1992 904
LINK 593 1666
LINK 543 1796
ADD 1965 836
LINK 970 178
ADD 134 2186
LINK 2999 1673
ADD 1072 2498
ADD 1287 3704
LINK 297 3176
ADD 2067 24
ADD 2048 2315
LINK 2054 1529
LINK 728 3650
ADD 1114 301
LINK 791 867
LINK 2217 2819
LINK 2372 1969
ADD 593 1184
LINK 1898 1046
LINK 1813 2240
LINK 237 975
LINK 2352 1593
LINK 327 879
ADD 3103 2540
LINK 2924 3382
LINK 1275 2824
ADD 1798 149
LINK 3703 970
ADD 200 161
LINK 213 635
LINK 355 1712
LINK 539 2519
LINK 3200 466
LINK 3130 2643
ADD 2708 2690
ADD 2261 2441
LINK 1406 1552
LINK 722 520
LINK 3282 6
ADD 988 325
ADD 610 866
ADD 2289 3568
LINK 225 2267
LINK 1957 585
ADD 947 2319
ADD 3049 2459
ADD 2976 744
ADD 2970 2838
LINK 111 1819
LINK 1113 3634
ADD 2845 155
ADD 1860 2491
ADD 2161 3402
ADD 3662 3422
LINK 2036 3483
LINK 2728 2346
ADD 1540 559
ADD 1575 75
ADD 1464 2720
ADD 3075 2443
ADD 590 798
LINK 1073 2082
ADD 507 1289
LINK 197 3390
ADD 3492 3123
ADD 2345 2027
LINK 3380 1909
ADD 1820 2450
ADD 437 312
ADD 1457 1646
LINK 160 3104
LINK 226 374
ADD 707 922
ADD 1035 3602
LINK 3566 2612
LINK 760 1994
ADD 2801 2006
ADD 3125 2325
LINK 3441 1271
LINK 652 3265
ADD 3618 3385
LINK 3389 2999
LINK 777 2438
ADD 3164 662
ADD 609 2390
LINK 2201 3664
LINK 2555 3209
LINK 1474 3533
LINK 2863 1403
ADD 2658 3070
LINK 748 3498
LINK 3667 683
LINK 997 448
LINK 71 497
ADD 329 3492
LINK 1201 1475
LINK 2849 2394
LINK 2082 2631
ADD 2729 2685
ADD 2684 1755
ADD 1960 2637
LINK 3150 1996
LINK 3673 1732
LINK 2426 3050
ADD 3512 2100
LINK 1932 1818
LINK 2162 1933
ADD 131 2119
ADD 294 3668
LINK 3330 189
LINK 2911 1880
ADD 2854 1035
LINK 3354 1946
LINK 137 1376
ADD 239 3406
LINK 3677 514
ADD 1185 1736
ADD 6 1496
ADD 2302 1924
LINK 3312 4
LINK 3098 546
ADD 1180 298
ADD 3610 1699
LINK 1689 3457
ADD 1002 3690
LINK 1493 3673
LINK 3305 2246
ADD 3410 1159
LINK 474 3566
LINK 2033 3586
LINK 2629 1818
ADD 2312 2456
ADD 181 1318
LINK 3335 457
ADD 1846 1651
ADD 1231 3367
LINK 948 3362
ADD 2474 2700
ADD 135 3083
LINK 216 1918
LINK 3453 405
LINK 3541 804
LINK 848 2638
LINK 1396 3379
ADD 2822 2629
LINK 1435 3399
ADD 1992 1140
ADD 2992 1162
LINK 1918 2337
ADD 3484 3010
LINK 396 444
LINK 1180 3543
LINK 3143 1330
LINK 3198 2843
LINK 2078 3650
ADD 187 1161
ADD 781 3383
ADD 2655 2710
ADD 3 2217
ADD 3278 3381
LINK 3443 2066
LINK 1080 3172
ADD 2015 1287
ADD 2216 2554
LINK 2103 124
ADD 646 2872
LINK 1246 1924
LINK 254 2670
LINK 462 2016
ADD 2335 165
LINK 2288 1579
ADD 3210 3159
LINK 905 874
ADD 1105 3509
LINK 1669 527
LINK 1830 840
ADD 3495 3604
ADD 1006 2481
ADD 3652 1291
ADD 3209 224
ADD 2888 532
LINK 1839 1445
ADD 59 3208
LINK 292 1004
ADD 3725 93
ADD 1050 2213
LINK 27 752
LINK 626 1167
ADD 179 2491
LINK 1671 1825
LINK 2286 509
ADD 3019 1645
ADD 2898 632
ADD 2205 3632
LINK 2602 2018
ADD 812 1259
ADD 2321 2020
LINK 3384 3615
LINK 1803 396
ADD 751 68
ADD 2092 1803
LINK 1479 272
ADD 3643 958
ADD 283 234
LINK 1965 2383
ADD 727 553
LINK 537 1543
ADD 92 4
ADD 926 1084
ADD 2959 1164
LINK 2449 2089
LINK 666 359
LINK 488 726
LINK 657 1030
ADD 127 3286
LINK 3406 1546
ADD 3466 2982
LINK 1725 599
ADD 945 3130
ADD 2612 1483
LINK 1945 3344
ADD 3659 2499
ADD 487 2855
ADD 615 3507
ADD 2718 1721
LINK 3499 2535
ADD 1470 3222
ADD 1732 2785
LINK 1977 2570
ADD 2162 2501
ADD 2732 2551
LINK 442 1746
ADD 1900 3528
ADD 2398 1329
ADD 291 515
LINK 3160 2203
ADD 3475 2496
LINK 1372 1682
ADD 2247 3297
LINK 1180 215
LINK 2097 2260
LINK 1873 600
LINK 3303 1822
LINK 422 2322
ADD 687 1480
LINK 474 3362
ADD 709 1688
LINK 1030 2851
ADD 2116 952
ADD 982 1432
LINK 2659 1351
ADD 2640 3066
ADD 2026 392
LINK 1773 696
LINK 2194 3258
LINK 2076 2112
LINK 3613 2181
LINK 3618 1291
LINK 2068 2102
LINK 726 3556
LINK 627 3678
ADD 763 3669
ADD 1633 2010
ADD 659 2895
LINK 615 3659
LINK 2909 2140
LINK 2545 1893
LINK 3408 2072
ADD 1224 2721
ADD 676 3741
ADD 1849 1545
LINK 2204 3554
LINK 2566 3470
ADD 3588 2585
LINK 2706 1825
ADD 393 836
ADD 1023 3483
ADD 3416 3606
ADD 901 689
ADD 956 2237
ADD 1215 465
ADD 1786 452
ADD 389 1093
ADD 2569 1429
LINK 2301 1385
ADD 1245 3037
ADD 1231 11
ADD 1909 2466
LINK 1332 1319
LINK 1681 2031
LINK 815 620
LINK 706 459
LINK 2054 1517
LINK 2256 759
ADD 2922 2102
LINK 3019 3693
ADD 666 2335
LINK 1524 534
ADD 662 915
LINK 3539 2442
ADD 2935 2046
ADD 2791 2957
LINK 2484 2993
LINK 1088 1763
ADD 3739 642
ADD 1358 1791
LINK 367 1520
ADD 3459 2760
LINK 3307 1474
ADD 3587 1966
LINK 3241 114
LINK 3519 1915
ADD 412 1316
ADD 971 615
ADD 2344 2539
LINK 2003 2701
LINK 3676 3498
LINK 2631 3493
LINK 2618 2915
LINK 1300 3371
ADD 3705 3257
ADD 2841 3527
LINK 2815 516
ADD 408 980
LINK 1705 3447
LINK 929 25
ADD 2332 1876
LINK 1473 1722
ADD 88 597
LINK 2054 2633
ADD 2618 1144
ADD 3553 2940
ADD 1811 1900
LINK 401 1065
ADD 3487 1748
ADD 2175 1170
LINK 616 1812
LINK 1692 1193
LINK 1645 331
ADD 175 1850
LINK 39 398
ADD 829 3658
ADD 2511 2464
ADD 1354 908
ADD 3644 3410
LINK 615 586
LINK 3599 3178
ADD 3541 819
ADD 3433 1603
ADD 2460 616
LINK 3252 452
ADD 1499 2214
ADD 2372 1927
LINK 2978 1197
LINK 1450 1126
ADD 1618 2202
ADD 428 1659
ADD 1646 3537
LINK 2741 3185
LINK 1176 1409
LINK 1872 3315
LINK 3235 1878
LINK 1528 3443
ADD 339 1628
LINK 3748 636
LINK 2506 2518
ADD 782 2621
ADD 1759 2461
LINK 3545 766
LINK 664 2429
ADD 1845 1617
LINK 3135 3206
LINK 492 2751
LINK 1130 635
LINK 2042 2960
LINK 747 857
LINK 2053 2407
ADD 3227 1739
ADD 270 464
ADD 3152 2369
LINK 1640 381
ADD 1855 2114
ADD 508 3536
ADD 252 2418
LINK 1838 546
LINK 2867 3655
LINK 2541 1916
ADD 2801 611
ADD 1384 695
LINK 1570 1234
ADD 2166 3063
LINK 705 119
LINK 1065 2769
ADD 3482 1046
ADD 3610 3478
LINK 48 791
LINK 2661 1745
ADD 2093 1083
LINK 555 2884
ADD 1052 432
LINK 1639 1932
LINK 3029 2366
LINK 2500 3353
ADD 1829 3429
ADD 2866 1
ADD 3286 1876
LINK 2045 2966
LINK 2759 3559
LINK 1658 1350
ADD 3148 3257
ADD 3662 3598
ADD 2324 3372
ADD 1180 1116
ADD 2994 2911
LINK 1011 2716
ADD 434 2239
ADD 577 3280
LINK 1614 1828
ADD 2942 1851
LINK 3605 1140
ADD 1524 942
LINK 2978 2264
ADD 2339 2347
LINK 1479 2030
LINK 863 1758
ADD 1334 848
ADD 3395 195
ADD 1472 99
ADD 2269 3568
LINK 3273 3411
ADD 1223 3418
LINK 103 1863
ADD 2140 2632
ADD 968 3508
LINK 2804 2184
ADD 2705 1655
LINK 2129 414
LINK 336 1427
LINK 2169 3138
ADD 1983 45
ADD 1949 508
ADD 2454 2960
LINK 3489 1387
ADD 300 2677
ADD 562 3411
LINK 1779 1256
LINK 1405 3431
LINK 581 3522
ADD 2874 3224
LINK 750 14
ADD 2813 3592
ADD 566 2027
ADD 968 2124
ADD 609 1147
ADD 205 2188
ADD 2142 2199
LINK 2140 3577
LINK 1560 2857
LINK 121 1920
ADD 703 1644
LINK 1808 1784
LINK 326 1056
LINK 3471 2685
ADD 229 2814
ADD 2693 781
ADD 141 3054
LINK 2423 3341
LINK 1075 1675
ADD 1777 1312
LINK 1651 153
ADD 2621 1011
LINK 303 1869
LINK 1936 2454
LINK 3277 3168
ADD 624 1271
LINK 1533 85
LINK 45 3189
LINK 1541 2544
LINK 1871 2527
ADD 1097 1909
LINK 2368 1815
LINK 1918 3587
ADD 1530 3323
LINK 2283 3262
LINK 1331 2840
LINK 3226 2084
ADD 1278 2789
LINK 868 3265
LINK 458 890
LINK 1291 3506
LINK 3273 2782
LINK 986 186
LINK 441 1409
ADD 2201 759
LINK 1743 1577
LINK 2287 621
LINK 971 3661
LINK 2030 3419
ADD 1128 2256
LINK 27 1324
ADD 2600 447
ADD 2830 264
ADD 727 2375
ADD 3662 1010
ADD 872 2430
ADD 2083 958
ADD 2007 1538
LINK 2298 918
LINK 890 589
ADD 267 1476
LINK 2326 1527
ADD 2641 1590
LINK 1955 379
ADD 2853 1672
ADD 887 3717
LINK 1022 3571
ADD 150 2321
LINK 1923 3037
ADD 406 1020
LINK 1903 3461
LINK 979 27
LINK 806 3672
ADD 1971 2494
ADD 800 1516
LINK 1173 200
LINK 870 265
LINK 1410 2452
ADD 1382 720
ADD 3743 644
ADD 3213 1682
LINK 1728 187
LINK 3495 25
ADD 497 1070
LINK 636 3407
LINK 1886 1457
LINK 3132 316
LINK 2690 15
